hour,no_rain,rain
0,18.501664858908804,18.10353573027003
1,13.681457457602551,13.501068572902465
2,10.380595413294088,9.70873458987522
3,7.884625834497749,8.13277527647856
4,6.822154483018158,7.210081443979749
5,8.067714162281314,8.348305858347205
6,12.527090996112062,12.469280842345496
7,18.141302187834537,17.22114651623723
8,22.409483220250358,21.023080687255327
9,21.913251977356683,21.410482468556637
10,21.100524894190325,21.31825754303696
11,21.203015350335058,22.151303290523597
12,21.950385374203208,22.76712748569872
13,22.87377168790832,23.123209360635187
14,24.636132289757636,24.53964513662396
15,25.359744655073648,26.117610084855258
16,25.86276544141425,26.195051014059974
17,27.845325014754238,28.112860728707066
18,29.373043171206987,29.702535159141377
19,28.933536242536178,29.7537605707586
20,26.41733073701552,28.87699760287655
21,25.09344091532878,27.74913244098692
22,24.89979162396666,26.68654687218464
23,23.00626080775356,23.2432197021451
