hour,mean_abs_error
0,5.226441348966216
1,4.900760003585646
2,5.181931669248856
3,5.309330439763037
4,5.81280778087739
5,5.04454695002629
6,4.86298550409702
7,4.716080006956273
8,4.532358500124892
9,3.6770878413990817
10,3.5034234456660602
11,3.6283468527318092
12,4.009920971996882
13,4.345423036203901
14,4.454460275293096
15,4.492803957049674
16,4.533471019396395
17,4.850252376321344
18,4.824716959679536
19,4.177945138007141
20,3.9462894373104453
21,4.2239383003015725
22,5.190627690152263
23,5.856788035357543
