pred_decile,resid_var,resid_std,resid_mean,n
"(4.662999999999999, 8.255]",0.042763153606943625,0.20679253759974905,-0.024193521008630547,1627432
"(8.255, 10.255]",0.1407710898431393,0.37519473589476077,0.028811607179182613,1627433
"(10.255, 12.585]",0.18194680422164344,0.42655222918377,0.008306183378185067,1627439
"(12.585, 15.093]",0.2779858149515267,0.5272436011480146,0.006562848872020358,1627453
"(15.093, 17.918]",0.4119947111168696,0.641868141534435,-0.011504146743300686,1627407
"(17.918, 21.159]",0.5182439594575746,0.7198916303566633,0.015321027792720638,1627429
"(21.159, 25.283]",0.6181669583490227,0.7862359431805587,-0.061769181918318275,1627442
"(25.283, 30.842]",0.8031939474537448,0.896210883360465,-0.04427868644948165,1627422
"(30.842, 41.328]",1.034251909894443,1.0169817647797048,-0.05630218934261438,1627430
"(41.328, 147.439]",6.319604446738598,2.5138823454447103,0.1548912122826364,1627432
