pred_decile,resid_var,resid_std,resid_mean,n
"(-5.763, 8.739]",5.245247567373594,2.2902505468558663,1.644097778833696,1627432
"(8.739, 11.03]",8.70192014248968,2.94990171742885,0.281234397192447,1627432
"(11.03, 13.154]",13.350434442368694,3.6538246321311996,0.08877692054559215,1627432
"(13.154, 15.382]",18.2202845733976,4.268522528158614,0.15994830236686122,1627432
"(15.382, 17.88]",23.476238603183074,4.845228436635684,0.32965698081686606,1627432
"(17.88, 20.856]",29.661626436850757,5.446248840885877,0.4843591181585448,1627431
"(20.856, 24.702]",38.21552972181969,6.181871053477231,0.5301216269668121,1627432
"(24.702, 30.303]",52.20615454984999,7.225382657676339,0.45403341912634765,1627432
"(30.303, 40.618]",81.71704412551374,9.039748012279642,0.0031526679224555066,1627432
"(40.618, 131.089]",174.9534578162823,13.226997309150793,0.4232262546389778,1627432
