pred_decile,resid_var,resid_std,resid_mean,n
"(-1.452, 8.786]",2.859847471714474,1.6911083559945157,0.446096157069257,1627433
"(8.786, 10.555]",8.312946082097808,2.883218008076706,0.44195089903015206,1627431
"(10.555, 12.691]",13.163771801086384,3.628191257511983,0.5261524890387196,1627432
"(12.691, 14.97]",16.674366835673986,4.0834258699863755,0.5577258990808985,1627432
"(14.97, 17.347]",20.66242382078865,4.545593890878138,0.839242134512476,1627432
"(17.347, 20.592]",27.599241019901456,5.253497979432509,0.9498284845373144,1627431
"(20.592, 24.725]",35.57207231936446,5.964232751944248,0.6521222136806408,1627432
"(24.725, 29.871]",46.84404409137034,6.844270895527904,0.5988724685053027,1627432
"(29.871, 39.507]",77.15465091216346,8.783772020730243,0.8519666068844388,1627432
"(39.507, 119.149]",158.20246757246423,12.577856239139651,0.84907136137267,1627432
