pred_decile,resid_var,resid_std,resid_mean,n
"(5.308, 8.532]",2.550359239437413,1.5969844205368482,0.45574515258956744,1627432
"(8.532, 10.107]",8.119430342386995,2.8494614126860878,0.7647990334781253,1627432
"(10.107, 12.068]",11.90818860569788,3.450824337125534,1.0192508668469862,1627432
"(12.068, 14.348]",15.792323809183875,3.973955687873718,1.1855626235777998,1627432
"(14.348, 16.998]",19.643711203088774,4.432122652080916,1.2503309451060125,1627432
"(16.998, 20.112]",24.775470112774887,4.977496369940905,1.3083601948119876,1627431
"(20.112, 24.084]",32.783803609220875,5.725714244460762,1.2495021745423927,1627432
"(24.084, 29.629]",44.967381979428275,6.7057722880685615,1.1266295253654424,1627432
"(29.629, 38.931]",72.22363915303504,8.498449220477523,1.1608582676871788,1627432
"(38.931, 139.358]",154.30578657199575,12.421988028169878,1.574322183742982,1627432
