pred_decile,resid_var,resid_std,resid_mean,n
"(-2.3329999999999997, 8.189]",3.8719600234599483,1.9677296621893843,0.5753584486411737,1627432
"(8.189, 9.843]",9.154514961967887,3.0256429006027608,1.125474295086763,1627432
"(9.843, 11.916]",12.710773916677079,3.5652172327471265,1.2240261621382238,1627432
"(11.916, 14.22]",16.412392736282168,4.051221141369867,1.3005527049545766,1627432
"(14.22, 16.846]",20.781442286308703,4.558666722442945,1.4356646764684322,1627432
"(16.846, 19.935]",26.177673872000618,5.11641220700606,1.5185279730321706,1627431
"(19.935, 23.992]",33.987290142364394,5.829861931672515,1.3378363199382217,1627432
"(23.992, 29.152]",46.75019297959186,6.837411277639503,1.3419351349927344,1627432
"(29.152, 38.319]",75.79437427763787,8.705996455181788,1.7159806260036001,1627432
"(38.319, 119.085]",158.27074418605042,12.580570105764302,2.2550616993516934,1627432
